input;target
Sun. 1848 Nov 05;05-11-1848
Thu 1942-04-02;02-04-1942
Wednesday 10 April 2002;10-04-2002
Thursday 23.11.1876;23-11-1876
15 Sep 1801;15-09-1801
Tue. 1942 September 08;08-09-1942
Mon. 09.09.1991;09-09-1991
Sunday 22 May 1932;22-05-1932
Tue 1958 July 01;01-07-1958
Mon. 05 August 1996;05-08-1996
Thu. 02.11.1989;02-11-1989
Friday 1813-07-09;09-07-1813
1877-05-29;29-05-1877
Fri. 17 07 1987;17-07-1987
Mon 1815/03/20;20-03-1815
Monday 1865 February 20;20-02-1865
08.12.1950;08-12-1950
Monday, 05 Mar 1973;05-03-1973
Monday, 1979/05/14;14-05-1979
Tue. 17 11 1931;17-11-1931
Thursday 02-07-1914;02-07-1914
Wednesday, 07-10-1936;07-10-1936
Thursday, 15 Jan. 1880;15-01-1880
Thursday 28 03 1889;28-03-1889
Tue 1865 02 21;21-02-1865
Monday 16.08.1819;16-08-1819
Saturday, 2019 11 02;02-11-2019
Monday, 15 April 2019;15-04-2019
Mon. 18/01/1999;18-01-1999
Tuesday 31-03-2015;31-03-2015
Saturday 2037 May 23;23-05-2037
Tuesday, 1876 Feb 08;08-02-1876
Thursday 27 Apr 1978;27-04-1978
Fri 14 May. 2004;14-05-2004
Monday, 1987 04 27;27-04-1987
Friday, 01.10.1943;01-10-1943
Saturday, 1926 07 03;03-07-1926
Thursday, 16 10 2031;16-10-2031
Tue 1986 Dec. 23;23-12-1986
Tue 1956 Nov 13;13-11-1956
Tue 1949 September 13;13-09-1949
Mon. 1911 Nov 06;06-11-1911
Sun. 05-08-1900;05-08-1900
Sat 25 January 1862;25-01-1862
Fri 04 Nov. 1932;04-11-1932
25 02 2034;25-02-2034
Monday 13 Mar 1848;13-03-1848
Monday, 1997/04/21;21-04-1997
29/08/1807;29-08-1807
Wednesday, 1844 Nov. 13;13-11-1844
Sunday, 16 02 1919;16-02-1919
Tuesday 01/03/1960;01-03-1960
Thursday, 1808 09 15;15-09-1808
Tue 1835.03.03;03-03-1835
Monday, 2015 Apr. 20;20-04-2015
Wednesday 21-02-2024;21-02-2024
Monday, 1806 Dec 01;01-12-1806
Saturday 19/06/1841;19-06-1841
Tuesday, 19.02.1895;19-02-1895
Fri. 1974 August 02;02-08-1974
23-02-2043;23-02-2043
1988 04 21;21-04-1988
Monday, 1841 02 22;22-02-1841
Sun 1877-11-04;04-11-1877
Monday 10 Mar 2014;10-03-2014
Thursday 01 Jan. 1903;01-01-1903
2028 10 19;19-10-2028
Wed. 28 March 2012;28-03-2012
1853 Dec 12;12-12-1853
Mon 1855 October 22;22-10-1855
Thursday 10 04 1890;10-04-1890
1897 April 21;21-04-1897
Wed 19 May 1802;19-05-1802
Wednesday, 1896-01-29;29-01-1896
Mon. 1965 Jul. 12;12-07-1965
Sat. 10 Jun. 1911;10-06-1911
Sat. 07/11/1914;07-11-1914
28 Aug. 1993;28-08-1993
27 September 1870;27-09-1870
Monday, 03 Apr. 1905;03-04-1905
Monday 1827/08/27;27-08-1827
Wed 27 May 2015;27-05-2015
16 May 1925;16-05-1925
Monday, 1863/01/12;12-01-1863
Sunday 2005 06 19;19-06-2005
Wednesday, 05.07.1893;05-07-1893
Fri 27 February 1885;27-02-1885
Mon. 1991.01.28;28-01-1991
Mon. 07/09/1874;07-09-1874
Sun 16 01 1916;16-01-1916
Saturday, 1905 03 18;18-03-1905
Sat 1957-11-30;30-11-1957
Friday, 16/06/2006;16-06-2006
Tue 1978-10-31;31-10-1978
Monday 1963 Oct. 21;21-10-1963
1834.01.14;14-01-1834
Tuesday 16-01-1923;16-01-1923
Wednesday 1907.10.16;16-10-1907
Wed. 1814 December 14;14-12-1814
Sun 1805 Aug 18;18-08-1805
22 06 2029;22-06-2029
Thursday, 1925 11 19;19-11-1925
26/09/1908;26-09-1908
05/03/1935;05-03-1935
Fri. 05.04.2013;05-04-2013
Sat 31 Jul 1976;31-07-1976
Wednesday, 1800.07.30;30-07-1800
Fri. 1875 03 12;12-03-1875
Friday, 2006/05/05;05-05-2006
Tue. 1963/07/16;16-07-1963
Saturday, 11 June 1988;11-06-1988
1996 Jul 26;26-07-1996
Sat. 26 Aug. 2023;26-08-2023
1916-04-18;18-04-1916
Tuesday, 1969 Aug 19;19-08-1969
Sat. 1996 Apr. 27;27-04-1996
Fri 06/12/1895;06-12-1895
Thursday 2037 01 15;15-01-2037
Fri 1980-02-15;15-02-1980
Friday, 13 November 1959;13-11-1959
Wednesday 02 08 1893;02-08-1893
Thu 1962 Nov. 15;15-11-1962
Sun. 18 May 2031;18-05-2031
Tuesday, 1948 July 20;20-07-1948
2043 Jul. 02;02-07-2043
Wed 11.04.1832;11-04-1832
Wednesday, 1977 December 21;21-12-1977
Saturday, 1818 Apr. 18;18-04-1818
Sunday, 1904 May 22;22-05-1904
Saturday 1807.07.04;04-07-1807
Tuesday, 1823 Jun. 17;17-06-1823
Sunday 05.11.1950;05-11-1950
30/01/1928;30-01-1928
Sunday 15 Mar 1891;15-03-1891
Sun. 1819/10/03;03-10-1819
Tuesday 2033 11 01;01-11-2033
Fri. 28 March 1851;28-03-1851
Wednesday, 25 Oct 2045;25-10-2045
Friday, 11.01.1805;11-01-1805
21.12.1944;21-12-1944
2022 Oct. 09;09-10-2022
Sun 2010/05/23;23-05-2010
Tue 06 Aug. 1811;06-08-1811
Mon 27-08-1860;27-08-1860
02-01-1850;02-01-1850
2013 10 20;20-10-2013
Thu 2028 06 22;22-06-2028
Wednesday 1973/05/16;16-05-1973
01-03-1948;01-03-1948
Wednesday, 1938/03/09;09-03-1938
Tuesday 1908/12/15;15-12-1908
Wednesday, 16.01.1974;16-01-1974
Saturday, 02 Nov 2041;02-11-2041
2029.12.17;17-12-2029
Saturday, 30 11 1929;30-11-1929
Thursday, 18 Apr. 1833;18-04-1833
2042/02/12;12-02-2042
03 Mar. 1884;03-03-1884
Sunday 1883 Sep 02;02-09-1883
Wednesday, 04 May 1938;04-05-1938
Friday 04.12.1981;04-12-1981
Thu. 10 11 2022;10-11-2022
29 Dec. 1938;29-12-1938
Tue. 1838/01/02;02-01-1838
1919 08 13;13-08-1919
Wed 2037 August 19;19-08-2037
Friday 1808.05.20;20-05-1808
23.08.2002;23-08-2002
Friday, 1958 Oct. 10;10-10-1958
Friday, 1814.05.27;27-05-1814
Mon. 20.05.1805;20-05-1805
22 November 1954;22-11-1954
Wednesday, 30/12/1981;30-12-1981
Fri 1932-07-08;08-07-1932
Sun 1843 07 09;09-07-1843
Wednesday, 22.07.1835;22-07-1835
Tue. 2022 Feb. 15;15-02-2022
1822 November 04;04-11-1822
09/08/1888;09-08-1888
11 01 1848;11-01-1848
Thu. 1972/06/29;29-06-1972
1979/12/16;16-12-1979
Thursday 19 Apr 1906;19-04-1906
20 10 2007;20-10-2007
Saturday, 1906 Jan. 06;06-01-1906
Sat 23 May 2015;23-05-2015
Sat. 06 04 1907;06-04-1907
Thu 27/09/1838;27-09-1838
21 July 1868;21-07-1868
Saturday 14 Mar 1970;14-03-1970
Wed. 1865 Jul. 19;19-07-1865
20 Nov 1946;20-11-1946
Thursday 16/03/2017;16-03-2017
Fri 1936 April 17;17-04-1936
Sun 17 Jun 1979;17-06-1979
1840 October 04;04-10-1840
Mon 1953.10.19;19-10-1953
Sunday, 12 Dec. 2032;12-12-2032
2027 Apr 23;23-04-2027
Sat 27/01/1906;27-01-1906
Thursday, 30.07.1998;30-07-1998
06 Feb. 1969;06-02-1969
Wednesday, 1905 Jul. 19;19-07-1905
1908 Jun 22;22-06-1908
29 August 1822;29-08-1822
Sun. 2020/09/20;20-09-2020
Sun. 2025.03.23;23-03-2025
Sunday, 14 03 2004;14-03-2004
Fri 14 Sep 1962;14-09-1962
Sunday, 01.01.1933;01-01-1933
Saturday 1945 04 28;28-04-1945
13 Jun. 1844;13-06-1844
Friday 27 Aug 2032;27-08-2032
Tue. 1916 11 14;14-11-1916
Wed 2016/08/17;17-08-2016
Mon 1898-05-23;23-05-1898
1813 Jun 21;21-06-1813
Tuesday 13 September 1892;13-09-1892
1852/07/03;03-07-1852
Wed 15 Sep. 1847;15-09-1847
Wednesday 1872 05 22;22-05-1872
Tuesday 2038 Aug. 10;10-08-2038
Tuesday 21 Apr 1908;21-04-1908
Wednesday, 19 Dec. 1956;19-12-1956
Monday 1832.06.04;04-06-1832
Friday, 11 Jan. 2041;11-01-2041
Fri 1984 November 02;02-11-1984
Fri 28 Apr 1922;28-04-1922
Mon 1991 Sep. 16;16-09-1991
Tue. 1948 August 03;03-08-1948
Sunday, 1989/09/24;24-09-1989
Fri. 31 Mar. 1905;31-03-1905
Sat. 17 March 2012;17-03-2012
Wednesday 1925 August 19;19-08-1925
Wed 08 Oct 1975;08-10-1975
Fri. 27-12-1968;27-12-1968
Tuesday, 1923.06.05;05-06-1923
Wednesday 1994-01-26;26-01-1994
Monday 1970 December 14;14-12-1970
Thu 30-08-2040;30-08-2040
Thu. 27 05 2021;27-05-2021
Saturday, 1919-12-20;20-12-1919
Saturday, 24 Dec. 2011;24-12-2011
Thu 1846 06 25;25-06-1846
Fri. 2009.04.24;24-04-2009
Wednesday 14 February 1849;14-02-1849
Mon. 10/09/1990;10-09-1990
Fri. 1965-10-29;29-10-1965
Sunday 1958 October 19;19-10-1958
Mon. 19 Mar. 1973;19-03-1973
Sat 2043-03-28;28-03-2043
Tuesday, 09 09 1817;09-09-1817
2008 Feb. 29;29-02-2008
Fri 14 Aug. 2026;14-08-2026
Saturday 1964 April 04;04-04-1964
Fri. 21.11.1856;21-11-1856
Sat 13/10/2007;13-10-2007
Tue 1834 August 12;12-08-1834
04 January 1860;04-01-1860
Thursday 1858.12.23;23-12-1858
Sun 21 04 1867;21-04-1867
Sat. 2011 10 29;29-10-2011
Tue 2024-07-09;09-07-2024
Friday, 1958/12/19;19-12-1958
1937.01.14;14-01-1937
Thu. 06 Dec 1934;06-12-1934
25.10.2008;25-10-2008
Monday, 20 06 1803;20-06-1803
Wednesday 11 Mar 1846;11-03-1846
1802 06 01;01-06-1802
Tuesday, 1905/04/11;11-04-1905
Sat. 2011-09-10;10-09-2011
1816-01-13;13-01-1816
Tue. 2050/09/13;13-09-2050
1967 Sep. 13;13-09-1967
Monday 2020/07/27;27-07-2020
Sunday 1945 Apr 15;15-04-1945
Thu. 22 January 1857;22-01-1857
1925-04-06;06-04-1925
1892-11-29;29-11-1892
Wednesday, 1810-10-31;31-10-1810
Sat 1867 Sep. 28;28-09-1867
11-05-1892;11-05-1892
Sun. 1908.05.17;17-05-1908
Thursday 1978/07/20;20-07-1978
Wed. 2046.09.19;19-09-2046
Sunday, 07 Sep. 1817;07-09-1817
Sat. 1965.12.11;11-12-1965
Thu 1847.08.26;26-08-1847
1965 Dec. 10;10-12-1965
Monday 1872 Sep 16;16-09-1872
1950 02 20;20-02-1950
1877 05 27;27-05-1877
Saturday, 1840 09 12;12-09-1840
Sun. 19 August 1849;19-08-1849
Monday, 1899 October 09;09-10-1899
Wednesday 21 04 2032;21-04-2032
1860 09 25;25-09-1860
Wednesday 20-10-1999;20-10-1999
1993 Nov. 13;13-11-1993
Tuesday, 1905-09-19;19-09-1905
Saturday 1848-04-01;01-04-1848
Fri 1962 Jun 08;08-06-1962
1900 October 17;17-10-1900
Monday, 21 Jan 1833;21-01-1833
1973 September 19;19-09-1973
Friday 2030 Jan. 18;18-01-2030
Monday, 1924/07/28;28-07-1924
03 Apr. 1964;03-04-1964
Fri. 29 04 1983;29-04-1983
Saturday 13 05 2045;13-05-2045
Sat 1973 Oct. 20;20-10-1973
Tue. 2023.08.01;01-08-2023
Tuesday 1885.04.07;07-04-1885
Sunday 1817 Oct. 19;19-10-1817
Tuesday 1899 Oct 03;03-10-1899
06-06-1875;06-06-1875
Tue. 1999/12/14;14-12-1999
Wed. 03 Jun. 2015;03-06-2015
Tue 08 August 1967;08-08-1967
Saturday 15/07/1826;15-07-1826
Sunday 25 Jun. 2006;25-06-2006
01 02 1899;01-02-1899
08 Sep. 1856;08-09-1856
Sat. 1977.03.19;19-03-1977
Sun 31/08/1952;31-08-1952
Monday, 1829 Sep. 28;28-09-1829
Thursday 13 January 1944;13-01-1944
Wednesday 23-03-1892;23-03-1892
10.09.1843;10-09-1843
Fri 03.08.2040;03-08-2040
Fri. 15-12-1905;15-12-1905
Monday, 13.07.2015;13-07-2015
26-02-1872;26-02-1872
Mon. 04 Nov. 1895;04-11-1895
2028-04-21;21-04-2028
Mon. 01 January 1810;01-01-1810
Sat 1894 Jan. 20;20-01-1894
Wednesday, 1918 Oct. 02;02-10-1918
Sun 1933.06.25;25-06-1933
1912 09 30;30-09-1912
1895 June 15;15-06-1895
1948/11/29;29-11-1948
Sunday 1996 February 11;11-02-1996
1989-05-09;09-05-1989
1899 Jul 06;06-07-1899
Sun 29-12-1889;29-12-1889
Fri 1836 May. 06;06-05-1836
01 Feb 1879;01-02-1879
Sat 24 December 1881;24-12-1881
Fri 1932 10 07;07-10-1932
24.06.1872;24-06-1872
Fri. 20 06 1862;20-06-1862
Mon 2007 Jul. 16;16-07-2007
Wednesday, 07/04/1909;07-04-1909
1929 Jun 15;15-06-1929
Thursday 06 Jul 2028;06-07-2028
Friday 1889.03.15;15-03-1889
Fri 1857 March 20;20-03-1857
17-05-2020;17-05-2020
12-07-1831;12-07-1831
Friday 31/05/1833;31-05-1833
Tue 1943 Sep 21;21-09-1943
Saturday 30 04 2005;30-04-2005
Friday, 23 Feb. 2035;23-02-2035
16 Jan. 1921;16-01-1921
Saturday 05/10/1850;05-10-1850
Thu. 1845 Dec. 25;25-12-1845
Tue. 1921 04 26;26-04-1921
Thu 09-08-2012;09-08-2012
Fri. 08-02-1974;08-02-1974
Sat. 09-12-1939;09-12-1939
Tue. 1965-09-28;28-09-1965
Mon 1874 Nov. 23;23-11-1874
Sunday, 31/12/1950;31-12-1950
Tue 1934-12-11;11-12-1934
Saturday, 1937 Apr. 10;10-04-1937
Tue. 1846 September 01;01-09-1846
Mon. 13/03/1899;13-03-1899
Saturday, 1893.11.04;04-11-1893
Thursday, 1893 Nov. 16;16-11-1893
Thursday 1868 07 23;23-07-1868
Thursday, 2030/05/09;09-05-2030
Wednesday 1997.12.17;17-12-1997
Mon. 1938/08/15;15-08-1938
Monday, 1866/07/09;09-07-1866
Saturday, 08.09.1832;08-09-1832
1835/10/17;17-10-1835
Sunday 2011 10 16;16-10-2011
Saturday, 06.05.1843;06-05-1843
Tuesday 11.10.1881;11-10-1881
1906 August 02;02-08-1906
Saturday, 1888 Jan 21;21-01-1888
Wednesday 03.04.1901;03-04-1901
10 Nov. 1814;10-11-1814
Tuesday 25 December 1838;25-12-1838
Mon 1937 Dec. 27;27-12-1937
Thursday, 31.08.1944;31-08-1944
Saturday 1946 Dec 28;28-12-1946
Tuesday, 1825 Apr 19;19-04-1825
Wed. 1807-07-08;08-07-1807
1925-10-31;31-10-1925
Wednesday 08-10-1958;08-10-1958
1967 05 20;20-05-1967
Fri. 1898.03.11;11-03-1898
Tuesday, 10 January 1989;10-01-1989
Wednesday, 17-04-2024;17-04-2024
Fri. 10/09/1897;10-09-1897
Fri 1916 Jun. 23;23-06-1916
Saturday, 27 Oct. 1832;27-10-1832
Saturday, 24 March 1984;24-03-1984
26 Aug. 1963;26-08-1963
Sun. 1886 03 28;28-03-1886
Wednesday 1993 Jun 09;09-06-1993
1966-01-24;24-01-1966
Tue 2011-05-24;24-05-2011
Saturday, 05 May. 1855;05-05-1855
Tuesday 07.09.1813;07-09-1813
1987 Jun 29;29-06-1987
Friday 14 Jan. 1876;14-01-1876
Tue 05 Jul 1842;05-07-1842
Sat. 30-05-1818;30-05-1818
Tue 22/03/2011;22-03-2011
Saturday 23 Oct 1880;23-10-1880
Wed. 19 10 1842;19-10-1842
Saturday 23 07 1977;23-07-1977
16 07 2042;16-07-2042
Wed. 02 Jun 2010;02-06-2010
Saturday, 05-04-1800;05-04-1800
Mon. 21 Aug 1922;21-08-1922
1993 July 13;13-07-1993
Sun 1956/02/12;12-02-1956
Thursday, 05 Oct 1961;05-10-1961
16/01/2022;16-01-2022
30 May 1896;30-05-1896
Mon. 1907 Jun. 03;03-06-1907
Tuesday 1874 May. 05;05-05-1874
Thursday 28 Nov 1861;28-11-1861
Sunday 04/04/2032;04-04-2032
07.09.1941;07-09-1941
Mon. 29/11/1926;29-11-1926
Sat 2047 05 04;04-05-2047
Fri 2034.08.04;04-08-2034
Saturday, 1917 02 17;17-02-1917
1824-02-06;06-02-1824
1883/04/05;05-04-1883
Sun 23 September 1866;23-09-1866
Tuesday, 1849.09.04;04-09-1849
28 03 1910;28-03-1910
Wed 08/02/1933;08-02-1933
Thursday, 1851.09.18;18-09-1851
Friday 09 December 2016;09-12-2016
19 January 1873;19-01-1873
Sat 02 03 1901;02-03-1901
Sun 04 11 2012;04-11-2012
Wed. 15/02/1956;15-02-1956
Wednesday 05 Nov 1823;05-11-1823
Mon. 24 Mar 1975;24-03-1975
Tuesday 16 02 1960;16-02-1960
Mon 1879.03.31;31-03-1879
Sun. 13-10-2041;13-10-2041
Mon. 1891 May 04;04-05-1891
Saturday, 08 Sep. 1979;08-09-1979
Sun 15 Sep. 1844;15-09-1844
Friday 1848 Oct. 20;20-10-1848
Tuesday 23-10-1945;23-10-1945
16/07/1921;16-07-1921
Sat. 16.02.1895;16-02-1895
1943 July 10;10-07-1943
Friday 1852 July 30;30-07-1852
Fri. 02 12 1921;02-12-1921
Saturday 1998.03.28;28-03-1998
24 Mar. 1971;24-03-1971
31/10/1894;31-10-1894
Wednesday 1856 October 15;15-10-1856
18 07 1924;18-07-1924
10/07/2048;10-07-2048
Sun 2010/05/16;16-05-2010
Thu. 27.09.1934;27-09-1934
Tuesday 1937/09/14;14-09-1937
Sun 1811 Apr. 07;07-04-1811
Sun 12 February 1899;12-02-1899
Sun 2003 Apr. 13;13-04-2003
Thu 21 Apr. 1814;21-04-1814
Wed 10 December 1941;10-12-1941
Tue 1847 Apr. 13;13-04-1847
1858 Oct 24;24-10-1858
30 Mar. 1829;30-03-1829
Tue 30/05/1961;30-05-1961
Wed. 09 May. 1883;09-05-1883
Wed 1986 November 26;26-11-1986
2019 01 20;20-01-2019
Mon. 22 12 1800;22-12-1800
2014 Jul 23;23-07-2014
Sun. 1908.09.06;06-09-1908
Thursday 07.10.1982;07-10-1982
1971 Jul 27;27-07-1971
Friday 08 03 1850;08-03-1850
Thu 16 January 1986;16-01-1986
2045 February 23;23-02-2045
20 Nov 1817;20-11-1817
Thursday, 2001 04 12;12-04-2001
Friday, 04 06 1909;04-06-1909
Sat. 15 Sep 1956;15-09-1956
Friday 28 Feb. 2048;28-02-2048
Mon. 22 07 1850;22-07-1850
17-10-1873;17-10-1873
Sat 23/10/1802;23-10-1802
Tuesday 1874 Dec 29;29-12-1874
Thu 08 December 1955;08-12-1955
Tuesday 01/03/1927;01-03-1927
Wed 01 09 1897;01-09-1897
Sun. 2029-09-02;02-09-2029
Wednesday, 24 05 2034;24-05-2034
Friday, 10 December 1999;10-12-1999
Tue 2014 February 18;18-02-2014
Thu. 29 Nov 1883;29-11-1883
Wednesday, 31.08.1887;31-08-1887
Sun 10 11 1940;10-11-1940
02/08/1987;02-08-1987
Wed. 1879 Jun. 11;11-06-1879
Saturday, 02/06/1900;02-06-1900
Sunday 05.07.1807;05-07-1807
Monday 1929 December 23;23-12-1929
1979.05.19;19-05-1979
1873/10/19;19-10-1873
1826.10.18;18-10-1826
Sat 2009/12/26;26-12-2009
Fri 04-09-2009;04-09-2009
Saturday 1866 Jun 23;23-06-1866
Monday, 2027 01 11;11-01-2027
31 Oct. 1830;31-10-1830
Sun 1861.12.15;15-12-1861
Sunday, 1981 September 13;13-09-1981
Sun 2022 Jan 23;23-01-2022
Monday 1990 04 23;23-04-1990
Friday, 17/02/1899;17-02-1899
Thu. 1953 10 01;01-10-1953
Wednesday 16-01-1867;16-01-1867
16 June 1907;16-06-1907
Wednesday, 21 Jun. 1989;21-06-1989
Saturday 1893 Jan 28;28-01-1893
Tuesday 17 July 1973;17-07-1973
Mon 1974-05-13;13-05-1974
Saturday 2040 June 30;30-06-2040
Thu. 1836-01-21;21-01-1836
Tuesday 1952-11-25;25-11-1952
Fri 1960-12-16;16-12-1960
Tue. 23-08-2044;23-08-2044
Fri 1918 September 27;27-09-1918
Fri. 09 Dec 1853;09-12-1853
13 09 1857;13-09-1857
24 Apr. 1903;24-04-1903
Mon 1882 04 10;10-04-1882
1945.06.27;27-06-1945
1950-07-05;05-07-1950
Mon. 1940 May 13;13-05-1940
1835 Aug 23;23-08-1835
Wednesday, 15 Oct. 1806;15-10-1806
Fri. 1861 Nov. 01;01-11-1861
Sat 1871/07/01;01-07-1871
Fri 1866 10 05;05-10-1866
Sunday, 30 May 2027;30-05-2027
Thu. 1808 Jul. 07;07-07-1808
Wed. 04 Jun 1817;04-06-1817
01/02/1964;01-02-1964
Thu. 02 Jan. 2014;02-01-2014
Sat 15-12-1860;15-12-1860
Saturday, 01-07-1882;01-07-1882
17 Aug 1893;17-08-1893
Friday, 10 Feb 1893;10-02-1893
Wednesday, 1948 Mar 24;24-03-1948
07 Apr 1932;07-04-1932
Sunday, 27.01.2030;27-01-2030
Mon. 08-07-1912;08-07-1912
Wed. 1827 December 12;12-12-1827
Tue. 27 December 1983;27-12-1983
Thu 02 03 1978;02-03-1978
2024.03.26;26-03-2024
2011 Oct 06;06-10-2011
Tue. 09 January 1827;09-01-1827
Mon. 1933 Dec 25;25-12-1933
Thu. 02 Dec. 1841;02-12-1841
Fri. 1865-08-04;04-08-1865
Sunday 1829 Aug 30;30-08-1829
Thursday 1845 Apr 17;17-04-1845
Mon. 07 Apr. 1947;07-04-1947
Friday, 1828 May 16;16-05-1828
Sat. 16 August 2003;16-08-2003
Thursday 28 Aug 1913;28-08-1913
1853-01-08;08-01-1853
19-03-2007;19-03-2007
Sat 22 Oct. 1825;22-10-1825
Mon. 13 March 1820;13-03-1820
Wed. 1915 Mar 03;03-03-1915
Tuesday 1872-01-30;30-01-1872
1892/12/18;18-12-1892
28 Nov. 2011;28-11-2011
Tuesday 1859 May 31;31-05-1859
Friday, 02.09.1825;02-09-1825
20 March 1843;20-03-1843
Friday 1959 October 23;23-10-1959
Wed 1918 Jun. 26;26-06-1918
06 January 1900;06-01-1900
Mon. 1975 February 03;03-02-1975
Sun 20 Jan. 1985;20-01-1985
Friday, 22 May 1874;22-05-1874
Mon. 06 Apr 1981;06-04-1981
29 Jul. 1862;29-07-1862
Mon 1974 12 30;30-12-1974
Wednesday, 1836/12/14;14-12-1836
Sun 16 Mar 1947;16-03-1947
Saturday 05 Dec 2048;05-12-2048
Monday, 10 Apr. 1848;10-04-1848
Monday, 26 Nov 1832;26-11-1832
Wed 1933 October 25;25-10-1933
22 September 1830;22-09-1830
Fri. 1845 Oct 10;10-10-1845
03 04 1956;03-04-1956
Sunday 2025-11-16;16-11-2025
08 Mar 1832;08-03-1832
Monday, 1865 05 22;22-05-1865
Thursday 04/03/1841;04-03-1841
Sat. 1899 January 21;21-01-1899
Wednesday 1824 Jul. 07;07-07-1824
Wed 2027 Jul. 21;21-07-2027
Sat 1859-07-16;16-07-1859
Thu. 24 12 2026;24-12-2026
Wed. 2024.07.03;03-07-2024
Monday 29.08.2044;29-08-2044
Thu 14-10-1971;14-10-1971
Mon 1843 09 04;04-09-1843
Fri 1914 Aug. 21;21-08-1914
Thursday 24 11 1904;24-11-1904
Fri 1838 Mar 02;02-03-1838
Saturday 01-06-1940;01-06-1940
13 Jan 1809;13-01-1809
Wednesday, 1982 December 15;15-12-1982
Wed. 1888 01 11;11-01-1888
06 July 2034;06-07-2034
02 February 1943;02-02-1943
Sun. 01 July 1866;01-07-1866
21 April 2003;21-04-2003
08 March 1999;08-03-1999
Tuesday 1946 February 19;19-02-1946
2021.03.11;11-03-2021
19/05/1823;19-05-1823
Wed. 1924/07/16;16-07-1924
Thu. 28-03-1991;28-03-1991
Wednesday 1930 Dec. 03;03-12-1930
Sun. 1982/03/28;28-03-1982
Thursday 26.11.1857;26-11-1857
04 Feb 1913;04-02-1913
Sunday, 1986 01 12;12-01-1986
Sat. 1907-05-04;04-05-1907
Tue 10.05.1842;10-05-1842
2001 May 10;10-05-2001
Thu 2022 Feb. 17;17-02-2022
Tue. 04/06/1907;04-06-1907
Sat 29 January 2039;29-01-2039
Sat 18-05-2019;18-05-2019
19-05-1924;19-05-1924
Friday, 2020 Nov. 06;06-11-2020
Sunday, 1931-08-16;16-08-1931
Friday 1859 Apr 01;01-04-1859
04-12-1838;04-12-1838
Thu. 15 01 1903;15-01-1903
Thu 1978 Mar 09;09-03-1978
Friday 1909 Dec 24;24-12-1909
Sat. 1832-12-08;08-12-1832
Sat. 23 Jul. 2050;23-07-2050
Sunday, 1958 Jan. 12;12-01-1958
Thu. 1911 07 27;27-07-1911
15-11-1915;15-11-1915
Wednesday 1965 Oct 20;20-10-1965
Mon. 11-02-1980;11-02-1980
03.10.1945;03-10-1945
Tue 1863 Feb 17;17-02-1863
Friday, 1982 July 23;23-07-1982
Monday, 2007 Oct. 22;22-10-2007
Fri 2049 March 19;19-03-2049
03.04.1999;03-04-1999
Friday, 1863 Mar 06;06-03-1863
Monday, 14 July 1997;14-07-1997
Sun. 1987.12.06;06-12-1987
Friday 24 August 1894;24-08-1894
1992 04 08;08-04-1992
Saturday, 25 February 1922;25-02-1922
17 10 1880;17-10-1880
Fri 18.12.2043;18-12-2043
Saturday, 08 May. 1943;08-05-1943
Thursday 2008 Mar 06;06-03-2008
Thu 1884 Sep. 11;11-09-1884
Thu 30 Mar. 1916;30-03-1916
Wednesday, 01 December 1982;01-12-1982
Mon. 06 Aug 1923;06-08-1923
Tue 2027.10.05;05-10-2027
Friday 1855-01-12;12-01-1855
Thu. 1972 01 06;06-01-1972
Saturday 1862.05.31;31-05-1862
Fri. 01 July 2039;01-07-2039
1885 September 15;15-09-1885
Sun 1932/08/14;14-08-1932
Mon. 1818 August 31;31-08-1818
Sun. 2045.03.19;19-03-2045
Friday 07/06/1867;07-06-1867
Thursday 1889 04 11;11-04-1889
Sunday 1928-04-22;22-04-1928
Thu 05 04 1860;05-04-1860
Sun. 2033 Oct 02;02-10-2033
1897.10.28;28-10-1897
Wednesday, 1937-09-22;22-09-1937
Sun. 1861-08-04;04-08-1861
Tuesday, 1949 August 30;30-08-1949
Tue 02.06.2037;02-06-2037
Tuesday 30.03.1886;30-03-1886
1876.05.22;22-05-1876
Tue 08 Dec. 1891;08-12-1891
Wed 2027-11-10;10-11-2027
Tue. 1987.04.14;14-04-1987
Thursday, 08-11-1928;08-11-1928
Saturday, 2043 08 08;08-08-2043
Saturday, 07/02/1959;07-02-1959
Monday 17/09/2029;17-09-2029
25 Jul 1897;25-07-1897
Monday 30 Dec 1912;30-12-1912
Sunday, 20 Oct. 1889;20-10-1889
02/11/1827;02-11-1827
Sunday, 1896.08.23;23-08-1896
Tuesday 1816 January 09;09-01-1816
1856.08.08;08-08-1856
Tue 29 10 1861;29-10-1861
25 Mar. 1866;25-03-1866
Sunday, 10/10/1852;10-10-1852
Wed 19 October 2016;19-10-2016
Thu 04 June 1818;04-06-1818
Tue 2020.12.15;15-12-2020
Thu 01 02 1872;01-02-1872
Sat. 09.08.1919;09-08-1919
Tue 14.02.1871;14-02-1871
Monday, 1888-11-12;12-11-1888
Tue. 24 Dec. 1912;24-12-1912
Sun. 01 September 1895;01-09-1895
Fri 29/07/1859;29-07-1859
Wednesday 29/01/1936;29-01-1936
Sat 1949.11.26;26-11-1949
Friday, 1823-06-20;20-06-1823
Wednesday 19.05.1971;19-05-1971
Wed. 1844 Jul 31;31-07-1844
Friday, 11-09-1801;11-09-1801
